,map_id
908,R29456
909,R29471
910,R323404
911,R323405
912,R28486
913,R29467
914,R28683
915,R28677
916,R29447
917,R28468
918,R28660
919,R28607
920,R28932
922,R28930
926,R28472
927,R28931
929,R28361
953,R316636
956,R28443
957,R28467
958,R28645
959,R28391
960,R28636
961,R28384
962,R28752
963,R28753
964,R28156
965,R28633
966,R28755
967,R28642
968,R28630
969,R28388
970,R28627
971,R28381
972,R28153
973,R28750
974,R28621
975,R28142
976,R28747
977,R28615
978,R28748
979,R28749
980,R28624
981,R28145
982,R28368
983,R28136
984,R28148
985,R28618
986,R28004
987,R28689
988,R28686
990,R28360
999,R28002
1013,R316219
1017,R315912
1018,R316079
1019,R315913
1022,R315914
1027,R316212
1028,R315911
1029,R315907
1030,R315902
1031,R315904
1032,R315901
1033,R315900
1034,R315909
1035,R315905
1036,R315903
1037,R315899
1039,R315908
1040,R315906
1041,R315910
1043,R315757
1044,R315756
1049,R315738
1050,R315681
1052,R315780
1053,R315670
1061,R314919
1066,R314880
1067,R314881
1069,R318083
1072,R314794
1082,R314550
1086,R30902
1088,R30521
1089,R314577
1090,R30494
1093,R30498
1095,R31202
1096,R317158
1097,R31012
1098,R31009
1099,R31005
1100,R30483
1101,R30466
1102,R30999
1103,R30478
1104,R30451
1105,R30461
1106,R30447
1107,R31072
1108,R30457
1109,R31002
1110,R30438
1111,R30453
1112,R307246
1113,R29818
1114,R30947
1115,R29814
1116,R30885
1117,R30941
1118,R30944
1119,R30311
1120,R30858
1121,R29816
1122,R31027
1123,R30302
1124,R30680
1125,R30850
1126,R30752
1127,R30846
1128,R30630
1129,R30750
1130,R30679
1131,R30774
1132,R30109
1133,R30627
1134,R30637
1135,R30677
1136,R30624
1137,R30105
1138,R30621
1139,R30724
1140,R30618
1141,R30717
1142,R30093
1143,R30090
1144,R29515
1145,R30610
1146,R30097
1147,R30722
1148,R29511
1149,R29519
1150,R29082
1151,R29592
1152,R319471
1153,R323114
1154,R30607
1155,R29504
1156,R314140
1157,R29911
1158,R29478
1159,R319470
1160,R29052
1161,R29053
1162,R29085
1163,R29364
1164,R29870
1165,R28889
1166,R29888
1167,R29890
1168,R29024
1169,R29040
1170,R29469
1171,R29026
1172,R29899
1173,R29360
1174,R29351
1175,R28888
1176,R29353
1177,R29042
1178,R29020
1179,R28887
1180,R35405
1181,R35002
1182,R35593
